,date,event,myScore,opponent,place,player,result,theirScore,winnings
176,2015-09-24,2015 Global StarCraft II League Season 3: Code S,3.0,ByuL,3 - 4th,Dear,0.0,4.0,3610.0
177,2014-02-01,ASUS ROG Winter 2014,0.0,San,2nd,Dear,0.0,4.0,5000.0
178,2013-12-06,2013 Hot6ix Cup,1.0,Rain,3 - 4th,Dear,0.0,3.0,3784.0
179,2013-10-27,2013 WCS Season 3,4.0,Soulkey,1st,Dear,1.0,0.0,40000.0
180,2013-10-19,2013 WCS Season 3 Korea GSL/Premier,4.0,soO,1st,Dear,1.0,2.0,20000.0
181,2015-09-10,2015 StarCraft II StarLeague Season 3/Main Event,3.0,herO,3 - 4th,Rain,0.0,4.0,4061.0
182,2015-07-05,HomeStory Cup XI,4.0,Sacsri,1st,Rain,1.0,2.0,10000.0
183,2015-06-28,2015 Global StarCraft II League Season 2/Code S,4.0,ByuL,1st,Rain,1.0,1.0,36099.0
184,2014-12-07,IEM Season IX - San Jose,3.0,herO,2nd,Rain,0.0,4.0,4000.0
185,2014-03-26,2014 Global StarCraft II League Season 1/Code S,2.0,Zest,3 - 4th,Rain,0.0,4.0,7587.0
186,2014-02-16,IEM Season VIII - Cologne,2.0,Polt,3 - 4th,Rain,0.0,3.0,2000.0
187,2013-12-08,2013 Hot6ix Cup,4.0,Soulkey,1st,Rain,1.0,2.0,18923.0
188,2013-08-10,2013 WCS Season 2 Korea OSL: Premier League,2.0,Maru,2nd,Rain,0.0,4.0,12000.0
189,2012-11-18,2012 Battle.net World Championship,3.0,Sen,3rd,Rain,1.0,0.0,16000.0
190,2012-10-27,2012 Auction All Kill OnGameNet Starleague,4.0,DongRaeGu,1st,Rain,1.0,1.0,36486.0
191,2012-10-14,2012 StarCraft II WCS: Asian Finals,2.0,PartinG,1st,Rain,1.0,0.0,24000.0
192,2012-10-10,2012 Global StarCraft II League Season 4: Code S,2.0,Mvp,3 - 4th,Rain,0.0,3.0,4523.0
193,2018-04-08,2018 AfreecaTV GSL Super Tournament 1,1.0,Stats,3 - 4th,herO,0.0,3.0,2349.0
194,2017-10-01,2017 AfreecaTV GSL Super Tournament 2,3.0,Rogue,2nd,herO,0.0,4.0,4490.0
195,2017-07-30,IEM Season XII - Shanghai,1.0,Rogue,2nd,herO,0.0,4.0,4000.0
196,2017-06-03,2017 StarCraft II StarLeague Season 1 - Challenge,4.0,None,1st,herO,1.0,1.0,1935.0
197,2017-04-09,2017 AfreecaTV GSL Super Tournament 1,4.0,aLive,1st,herO,1.0,2.0,10780.0
198,2015-09-20,2015 StarCraft II StarLeague Season 3/Main Event,4.0,ByuL,1st,herO,1.0,2.0,36099.0
199,2015-07-19,IEM Season X - Shenzhen,2.0,Classic,3 - 4th,herO,0.0,3.0,2000.0
200,2015-06-04,2015 StarCraft II StarLeague Season 2/Main Event,0.0,Dream,3 - 4th,herO,0.0,4.0,4061.0
201,2015-05-05,GiGA internet 2015 KeSPA Cup Season 1,4.0,Dark,1st,herO,1.0,3.0,9110.0
202,2015-03-18,2015 Global StarCraft II League Season 1/Code S,3.0,Life,3 - 4th,herO,0.0,4.0,3610.0
203,2014-12-07,IEM Season IX - San Jose,4.0,Rain,1st,herO,1.0,3.0,10000.0
204,2014-09-27,2014 DreamHack Open: Stockholm,1.0,Solar,3 - 4th,herO,0.0,2.0,3000.0
205,2014-09-14,2014 KeSPA Cup,1.0,Zest,2nd,herO,0.0,4.0,9790.0
206,2014-03-16,IEM Season VIII - World Championship,1.0,sOs,2nd,herO,0.0,4.0,0.0
207,2014-02-01,IEM Season VIII - Sao Paulo,4.0,MC,1st,herO,1.0,1.0,10000.0
208,2013-12-01,IEM Season VIII - Singapore,4.0,San,1st,herO,1.0,2.0,10000.0
209,2012-10-14,2012 StarCraft II WCS: Asian Finals,1.0,PartinG,4th,herO,0.0,2.0,1800.0
210,2016-10-03,2016 KeSPA Cup,0.0,Neeb,2nd,Trap,0.0,4.0,9050.0
211,2015-03-15,IEM Season IX - World Championship,1.0,Zest,2nd,Trap,0.0,4.0,15000.0
212,2014-09-21,Red Bull Battle Grounds: Washington,1.0,Polt,4th,Trap,0.0,2.0,4000.0
213,2014-06-22,2014 MLG Anaheim,2.0,Polt,1st,Trap,1.0,0.0,15000.0
214,2013-10-27,2013 WCS Season 3,0.0,Soulkey,3 - 4th,Trap,0.0,3.0,10000.0
215,2017-06-01,2017 StarCraft II StarLeague Season 1: Premier,2.0,Solar,3rd,ByuL,0.0,3.0,6673.0
216,2017-04-09,2017 AfreecaTV GSL Super Tournament 1,0.0,herO,3 - 4th,ByuL,0.0,3.0,2250.0
217,2016-12-17,IEM Season XI - Gyeonggi,2.0,Stats,3 - 4th,ByuL,0.0,3.0,2500.0
218,2015-10-04,2015 Global StarCraft II League Season 3: Code S,2.0,INnoVation,2nd,ByuL,0.0,4.0,9025.0
219,2015-09-20,2015 StarCraft II StarLeague Season 3/Main Event,2.0,herO,2nd,ByuL,0.0,4.0,9025.0
220,2015-06-28,2015 Global StarCraft II League Season 2/Code S,1.0,Rain,2nd,ByuL,0.0,4.0,9025.0
221,2015-05-05,GiGA internet 2015 KeSPA Cup Season 1,0.0,herO,3 - 4th,ByuL,0.0,3.0,1822.0
222,2013-10-20,2013 WCS Season 3 America/Premier,1.0,Polt,2nd,ByuL,0.0,4.0,12000.0
223,2015-11-28,DreamHack ROCCAT LotV Championship,3.0,Solar,2nd,PartinG,0.0,4.0,10000.0
224,2015-08-31,MSI Masters Gaming Arena 2015,1.0,Solar,3 - 4th,PartinG,0.0,2.0,2000.0
225,2015-07-19,IEM Season X - Shenzhen,1.0,Classic,2nd,PartinG,0.0,4.0,4000.0
226,2015-05-09,2015 DreamHack Open: Tours,3.0,GuMiho,1st,PartinG,1.0,1.0,10000.0
227,2015-03-22,2015 Global StarCraft II League Season 1/Code S,3.0,Life,2nd,PartinG,0.0,4.0,9025.0
228,2015-02-01,IEM Season IX - Taipei,1.0,Life,3 - 4th,PartinG,0.0,3.0,2000.0
229,2014-11-16,HomeStory Cup X,4.0,Flash,1st,PartinG,1.0,3.0,10000.0
230,2014-11-02,MSI Beat IT 2014,3.0,Solar,2nd,PartinG,0.0,4.0,5000.0
231,2014-04-26,2014 GSL Global Championship,3.0,Zest,2nd,PartinG,0.0,4.0,3700.0
232,2013-12-01,World Cyber Games 2013,3.0,Jim,3rd,PartinG,1.0,1.0,7500.0
