,alternate_ids,birth,country,imageURL,name,nicknames,pageURL,player,race,romanized_name,team,total_earnings,wcs_korea_points,wcs_korea_rank,retired,sponsor,wcs_circuit_points,wcs_circuit_rank,clan
57,"['mouzCC.MaNa', 'mouz.MaNa', 'ManaZZZor', 'mouzTosh', 'mouzCC.Tosh']",1993-12-14,Poland,https://liquipedia.net/commons/images/thumb/d/df/MaNa_HSC11.jpg/600px-MaNa_HSC11.jpg,Grzegorz Komincz,,https://liquipedia.net/starcraft2/MaNa,MaNa,Protoss,,Team Liquid,192905.0,,,,,1780.0,13,
58,ESC.ShoWTimE,1994-02-23,Germany,https://liquipedia.net/commons/images/thumb/0/0d/ShoWTimE_WCS_S1_2015.jpg/600px-ShoWTimE_WCS_S1_2015.jpg,Tobias Sieber,Die Mauer,https://liquipedia.net/starcraft2/ShoWTimE,ShoWTimE,Protoss,,,224528.0,,,,,3270.0,2,
59,"['IM.Seed', 'SeedSG', 'LG-IM.Seed', 'FXOSeed', 'Vengeance', 'Frost']",1991-01-13,South Korea,https://liquipedia.net/commons/images/thumb/d/d7/Seed_HSC7.jpg/600px-Seed_HSC7.jpg,안상원,,https://liquipedia.net/starcraft2/Seed,Seed,Protoss,Ahn Sang-won,,80941.0,,,,,,,
60,"['tHuNdEr[fOu]', 'Start', 'tHuNdeR', 'IMLosirA', 'IM.LosirA', 'Emblem', 'LosirA', 'KangHo']",1992-04-11,South Korea,https://liquipedia.net/commons/images/c/c6/Losira_2016GSLS1.jpg,황강호,,https://liquipedia.net/starcraft2/Losira,Losira,Zerg,Hwang Kang-ho,,113163.0,0.0,,,,,,
61,"['oGsTOP', 'kiwian', 'chopa']",1990-11-26,South Korea,https://liquipedia.net/commons/images/7/7b/TOP.jpg,김정훈,,https://liquipedia.net/starcraft2/TOP,TOP,Terran,Kim Jung Hoon,,43933.0,,,,,,,
62,"['AcerNerchio', 'aAaNerchio', 'Empire.Nerchio', 'Desanir']",1992-08-09,Poland,https://liquipedia.net/commons/images/thumb/8/86/Nerchio.jpg/600px-Nerchio.jpg,Artur Bloch,"['Pancake', 'Nerdchio', 'Godchio', 'KingArthur']",https://liquipedia.net/starcraft2/Nerchio,Nerchio,Zerg,,Iron Chain,368349.0,,,,Red Bull,2320.0,7,
63,"['Curse', 'Traditional', 'MaruThermal', 'uthermy', 'Terminal', 'liquidthermy']",1995-11-10,Netherlands,https://liquipedia.net/commons/images/thumb/a/af/UThermal_IEM_Shenzhen_2015.jpg/600px-UThermal_IEM_Shenzhen_2015.jpg,Marc Schlappi (Dutch: mɑʁk 'ʃlɑpi),,https://liquipedia.net/starcraft2/uThermal,uThermal,Terran,,Team Liquid,119362.0,,,,,2130.0,9,
64,By.Hydra,1991-09-04,South Korea,https://liquipedia.net/commons/images/thumb/f/fb/Hydra_WCS_S2_2015.jpg/600px-Hydra_WCS_S2_2015.jpg,신동원,,https://liquipedia.net/starcraft2/Hydra,Hydra,Zerg,Shin Dong-won,ROOT Gaming,146568.0,,,,,,,
65,"['IM.NesTea', '하안사거리', 'LG-IM.NesTea']",1982-12-12,South Korea,https://liquipedia.net/commons/images/thumb/a/af/NesTeaIPL4.jpg/600px-NesTeaIPL4.jpg,임재덕,,https://liquipedia.net/starcraft2/NesTea,NesTea,Zerg,Lim Jae-duk,,285672.0,,,,,,,
66,"['SlayerS`Alicia', 'Alisia']",1987-08-01,South Korea,https://liquipedia.net/commons/images/6/6b/Alicia_20140116.jpg,양준식,,https://liquipedia.net/starcraft2/Alicia,Alicia,Protoss,Yang Joon-sik,,94026.0,,,,,,,
67,,1986-05-11,Netherlands,https://liquipedia.net/commons/images/thumb/1/1f/GrubbyMLG.jpg/600px-GrubbyMLG.jpg,Manuel Schenkhuizen,King of Orcs,https://liquipedia.net/starcraft2/Grubby,Grubby,Protoss,,,60248.0,,,,TwitchTVBenQTradimo,,,
68,"['IM.GanZi', 'SlayerS.GanZi', 'coL.GanZi']",1987-12-30,South Korea,https://liquipedia.net/commons/images/thumb/4/4a/Ganzi-20120824.JPG/600px-Ganzi-20120824.JPG,김동주,,https://liquipedia.net/starcraft2/GanZi,GanZi,Terran,Kim Dong-ju,,34943.0,,,,,,,
69,"['MYMMVPGenius', 'NsPGenius', 'Ever)T(EunByuL', 'NsP_Pokju', 'MVP_Genius']",1991-08-01,South Korea,https://liquipedia.net/commons/images/5/5d/GeniusGOMTV.jpg,정민수,,https://liquipedia.net/starcraft2/Genius,Genius,Protoss,Jeong Min-soo,,94975.0,,,,,,,
70,"['과일장수', 'Cool[fOu]', 'FruitDealer']",1985-07-27,South Korea,https://liquipedia.net/commons/images/3/3c/FruitDealer.jpg,김원기,,https://liquipedia.net/starcraft2/FruitDealer,FruitDealer,Zerg,Kim Won-gi,,100005.0,,,,,,,
71,"['NEXCoCa', 'NEXDeer']",1994-04-14,South Korea,https://liquipedia.net/commons/images/a/a3/CocaGOMTV.jpg,최종환,,https://liquipedia.net/starcraft2/CoCa,CoCa,Zerg,Choi Jong-hwan,,22908.0,,,,,,,
