,alternate_ids,birth,country,imageURL,name,nicknames,pageURL,player,race,romanized_name,team,total_earnings,wcs_korea_points,wcs_korea_rank,retired,sponsor,wcs_circuit_points,wcs_circuit_rank,clan
122,"['ST_Rainbow', 'IntoTheRainbow', 'HopeTorture', 'BlackCitadel', 'hitBOX', 'Kobe']",1984-02-08,South Korea,https://liquipedia.net/commons/images/5/54/RainBOwGOMTV.jpg,김성제,,https://liquipedia.net/starcraft2/RainBOw,RainBOw,Terran,Kim Sung-je,StarTale,42803.0,,,,,,,
123,"['VTypeReal', 'SupermanSG', 'Real', 'TypeReal', 'wlstlfdl11[1]']",,South Korea,https://liquipedia.net/commons/images/thumb/1/12/ReaL-IEM-Cologne.jpg/600px-ReaL-IEM-Cologne.jpg,오진실,,https://liquipedia.net/starcraft2/ReaL,ReaL,Protoss,Oh Jin-shil,,7022.0,,,,,,,
124,,1992-08-11,Sweden,https://liquipedia.net/commons/images/b/b7/Morrow_dh_bucharest_14.jpg,Stefan Andersson,The Infested Terran,https://liquipedia.net/starcraft2/MorroW,MorroW,Protoss,,,47364.0,,,,,,,
125,"['mouzHasu', 'mouzCCHasu']",1988-05-26,Germany,https://liquipedia.net/commons/images/7/77/HasuObs-NASL2.jpg,Dennis Schneider,,https://liquipedia.net/starcraft2/HasuObs,HasuObs,Protoss,,,86024.0,,,,,,,
126,SeleCT,1988-10-21,South Korea,https://liquipedia.net/commons/images/thumb/8/8c/SeleCT-SF20120608.jpg/600px-SeleCT-SF20120608.jpg,류경현,,https://liquipedia.net/starcraft2/SeleCT,SeleCT,Terran,Ryoo Kyung-hyun,,39812.0,,,,,,,
127,"['TheWoK', 'Flash', 'OoZi']",1987-12-23,Canada,https://liquipedia.net/commons/images/thumb/8/83/Drewbie-1360.JPG/600px-Drewbie-1360.JPG,Andrew Moysey,,https://liquipedia.net/starcraft2/Drewbie,Drewbie,Terran,,ROOT Gaming,5932.0,,,,,,,
128,"['Sirius[fOu]', 'Rain[fOu]']",1992-08-08,South Korea,https://liquipedia.net/commons/images/2/26/SiriusGOMTV.jpg,최진솔,,https://liquipedia.net/starcraft2/Sirius,Sirius,Zerg,Choi Jin-sol,,7572.0,,,,,,,
129,"['MYM.XlorD', 'aTn.XlorD']",1991-09-27,Germany,https://liquipedia.net/commons/images/thumb/8/88/Xlord_dreamhack.jpg/600px-Xlord_dreamhack.jpg,Daniel Spenst,,https://liquipedia.net/starcraft2/XlorD,XlorD,Zerg,,,10695.0,,,,,,,
130,aAaNeOAnGeL,,France,https://liquipedia.net/commons/images/thumb/3/36/NeoAngel.jpg/600px-NeoAngel.jpg,Grégory Ferte,,https://liquipedia.net/starcraft2/NeOAnGeL,NeOAnGeL,Protoss,,against All authority,3409.0,,,,,,,
131,ZANMATO,1993-09-10,Spain,https://liquipedia.net/commons/images/thumb/f/fe/Vortix_dh_valencia.jpg/600px-Vortix_dh_valencia.jpg,Juan Moreno Durán,"['CucarachaZerg', 'SonofSoulkey']",https://liquipedia.net/starcraft2/VortiX,VortiX,Zerg,,,105804.0,,,,,,,
132,"['FXOBratOK', 'imbaBratOK', 'Brat_OK', 'aka10gG', 'Pasha']",1987-01-03,Russia,https://liquipedia.net/commons/images/3/35/Bratok2018.jpeg,Pavel Kuznetsov,,https://liquipedia.net/starcraft2/Brat_OK,Brat_OK,Terran,,Team STARCOM,37743.0,,,,,,,
133,"['aMeBa[NsP]', 'aMeBa[S.G]', 'Ace[S.G]', 'JoonSang', 'StarTaleAce']",1988-10-17,South Korea,https://liquipedia.net/commons/images/e/e2/AcEGSL.jpg,정우서,,https://liquipedia.net/starcraft2/AcE,AcE,Protoss,Jung Woo-seo,StarTale,31226.0,,,2014-08-13,,,,
134,"['GLaDe', 'Rednep']",1986-07-14,Australia,https://liquipedia.net/commons/images/thumb/0/03/Moonglade-SF20121103-150423.jpg/600px-Moonglade-SF20121103-150423.jpg,Andrew Pender,,https://liquipedia.net/starcraft2/mOOnGLaDe,mOOnGLaDe,Zerg,,GAMECOM Nv,37147.0,,,,,,,
135,"['M‡Tarson', 'iG.Tarson', 'ieS.Tarson', 'BVG.Tarson', 'RAGE.Tarson']",1986-04-11,Poland,https://liquipedia.net/commons/images/e/ef/Tarson.jpg,Tomasz Boroń,,https://liquipedia.net/starcraft2/Tarson,Tarson,Terran,,,12247.0,,,,,,,
136,"['EG.JYP', 'Smart', 'Pooh']",1991-10-13,South Korea,https://liquipedia.net/commons/images/c/c6/JYP_hsc4.jpg,박진영,,https://liquipedia.net/starcraft2/JYP,JYP,Protoss,Park Jin-young,,36949.0,,,2015-02-12,,,,
137,"['NEXPuzzle', 'ZeNEXzerO', 'Neo.GzerO', 'FFmon']",1992-10-02,South Korea,https://liquipedia.net/commons/images/2/25/PuzzleGOMTV.jpg,김상준,,https://liquipedia.net/starcraft2/Puzzle,Puzzle,Protoss,Kim Sang-jun,,21033.0,,,,,,,
138,"['ROOT.qxc', 'FXO.qxc', 'coL.qxc']",1989-10-11,United States,https://liquipedia.net/commons/images/thumb/b/bb/QXC-20120824.JPG/600px-QXC-20120824.JPG,Kevin Riley,"['BandanaMan', 'BandanaTerran', 'JohnLennon', 'DestroyerofTotos']",https://liquipedia.net/starcraft2/qxc,qxc,Terran,,,28060.0,,,,,0.0,,
139,SjoWBBII,1986-12-23,Sweden,https://liquipedia.net/commons/images/thumb/4/47/Sjow_DHS13.jpg/600px-Sjow_DHS13.jpg,Jeffrey Brusi,,https://liquipedia.net/starcraft2/SjoW,SjoW,Terran,,,40446.0,,,2014-03-16,,,,
140,"['KeenMvP', 'MVP_Keen', 'MVPKeeN', 'MYMMvPKeeN', 'KeeN_Lt', 'KeeN']",1994-10-02,South Korea,https://liquipedia.net/commons/images/thumb/b/b0/KeeN_2016VSLTeamLeague.jpg/600px-KeeN_2016VSLTeamLeague.jpg,황규석,,https://liquipedia.net/starcraft2/KeeN,KeeN,Terran,Hwang Kyu-seok,,80207.0,0.0,,,,,,
141,oGsEnsnare,1987-09-21,South Korea,https://liquipedia.net/commons/images/f/f6/Ensnare.jpg,김상철,,https://liquipedia.net/starcraft2/Ensnare,Ensnare,Terran,Kim Sang-cheol,,21152.0,,,2011-??-??,,,,
142,"['idrajit', 'EG.IdrA', 'Cale', 'Limper']",1989-08-21,United States,https://liquipedia.net/commons/images/thumb/e/e9/IdraProfile.jpg/600px-IdraProfile.jpg,Gregory Andrew Fields,,https://liquipedia.net/starcraft2/IdrA,IdrA,Zerg,,,65625.0,,,,Tt eSPORTS,,,
143,"['EmpireKas', 'Kasmatuy', 'Mikelangelo', 'Kascade', 'Digger']",1988-11-25,Ukraine,https://liquipedia.net/commons/images/a/ac/Kas2018-2.png,Mykhailo Gaida,,https://liquipedia.net/starcraft2/Kas,Kas,Terran,,Team STARCOM,72148.0,,,,,30.0,116,
144,"['EG.DeMusliM', 'GladHeAteHer', 'BakerB', 'TheDevilTerran']",1990-01-24,United Kingdom,https://liquipedia.net/commons/images/thumb/d/dd/DeMusliM_1.jpg/600px-DeMusliM_1.jpg,Benjamin James Baker,,https://liquipedia.net/starcraft2/DeMusliM,DeMusliM,Terran,,,34246.0,,,,,,,
145,KyrixZenith,1993-03-16,South Korea,https://liquipedia.net/commons/images/9/9b/KyrixGOMTV.jpg,한준,,https://liquipedia.net/starcraft2/Kyrix,Kyrix,Zerg,Han Joon,,20846.0,,,,,,,
146,"['ROGǂelfi', 'AcerElfi', 'VirusElfi', 'PwRElfi', 'elfittaja-']",1990-10-24,Finland,https://liquipedia.net/commons/images/thumb/3/35/Elfi_WCS_S2_2015.jpg/600px-Elfi_WCS_S2_2015.jpg,Samuli Sihvonen,,https://liquipedia.net/starcraft2/elfi,elfi,Protoss,,,44400.0,,,,"['Steelseries', 'Jimms.fi']",,,
147,"['LiquidZenio', 'oGsZenio']",1991-03-31,South Korea,https://liquipedia.net/commons/images/7/7e/Zenio_In_Liquid_Shirt.jpg,최정민,,https://liquipedia.net/starcraft2/Zenio,Zenio,Zerg,Choi Jung-min,,29644.0,,,,,,,
148,"['roxkisTITAN', 'RoXKIS.TitaN']",1989-11-04,Russia,https://liquipedia.net/commons/images/5/57/RoxTitan.jpg,Oleg Kuptsov,,https://liquipedia.net/starcraft2/TitaN,TitaN,Protoss,,RoX,28930.0,,,,,,,
149,anyproPrime,1987-08-19,South Korea,https://liquipedia.net/commons/images/0/0d/Anypro.gif,이정환,,https://liquipedia.net/starcraft2/anypro,anypro,Protoss,"['Lee', 'Jung-Hwan']",,17917.0,,,,,,,
150,"['sCfOu', 'MVPsC', 'FXOsC']",1995-02-14,South Korea,https://liquipedia.net/commons/images/e/e3/PlayXPMvPSC.jpg,김승철,,https://liquipedia.net/starcraft2/sC,sC,Terran,Kim Seung-Chul,,30729.0,,,2014-08-13,,,,
