doubanID,imdbID,doubanURL,imdbURL,movieTitle,year,directorName,directorID,category,releaseDate,duration,relatedMovieIDs,doubanTotalVotes,imdbTotalVotes,doubanScore,imdbScore,douban-1star,douban-2star,douban-3star,douban-4star,douban-5star,imdb-1star,imdb-2star,imdb-3star,imdb-4star,imdb-5star,imdb-6star,imdb-7star,imdb-8star,imdb-9star,imdb-10star
3104205,tt1243974,https://movie.douban.com/subject/3104205,http://www.imdb.com/title/tt1243974,阿罗哈 Aloha,2015,卡梅伦·克罗,/celebrity/1010607/,"['剧情', '喜剧', '爱情']",['2015-05-29(美国)'],105分钟,"['20388696', '3007827', '6873766', '24708106', '21324289', '24530943', '21263664', '11541282', '10482125', '21324293']",4510,53695,5.763636363636364,5.550889282056058,212,1191,2246,640,221,2192,1933,3330,6262,11343,13070,8330,3756,1324,2155
26689487,tt5301662,https://movie.douban.com/subject/26689487,http://www.imdb.com/title/tt5301662,马歇尔 Marshall,2017,雷吉纳·哈德林,/celebrity/1037021/,"['剧情', '传记']",['2017-10-13(美国)'],118分钟,"['26793860', '26313982', '25925430', '26747451', '26704137', '26372319', '26602855', '26756049', '26657525', '25931635']",2103,13861,7.259153590109368,7.307264988096097,11,69,839,953,231,256,64,74,155,465,1751,5016,3716,1251,1113
20278806,tt2034031,https://movie.douban.com/subject/20278806,http://www.imdb.com/title/tt2034031,永远十六岁 Laggies,2014,琳·谢尔顿,/celebrity/1274929/,['喜剧'],['2014-09-26(美国)'],99分钟,"['25853449', '24876991', '3014952', '20501042', '5327188', '5153254', '3011094', '24530943', '21324289', '25944282']",6293,38563,6.333068488797076,6.504862173586081,170,944,3279,1473,428,489,340,634,1681,4677,11028,11559,4726,1512,1917
1307361,tt0071632,https://movie.douban.com/subject/1307361,http://www.imdb.com/title/tt0071632,黄飞鸿少林拳 黃飛鴻少林拳,1974,郑昌和,/celebrity/1042483/,['动作'],['1974-01-22(香港)'],84分钟,"['2142151', '1302130', '2122869', '1302989', '2082276', '2351242', '3840354', '1308448', '1304804', '3057946']",249,68,6.088353413654619,6.2058823529411775,8,40,156,23,22,2,0,3,7,9,17,17,6,1,6
1302063,tt0016029,https://movie.douban.com/subject/1302063,http://www.imdb.com/title/tt0016029,小上校 The Little Colonel,1935,大卫·巴特勒,/celebrity/1069708/,"['剧情', '喜剧', '家庭', '犯罪']",['1935-02-22'],80 分钟,"['1464349', '1308503', '1292737', '1307425', '1308406', '1307417', '1464359', '1298670', '1300858', '1308639']",4084,1213,8.29431929480901,7.1887881286067605,4,16,633,2173,1262,14,9,17,31,91,179,393,230,97,152
25720438,tt2628316,https://movie.douban.com/subject/25720438,http://www.imdb.com/title/tt2628316,足球流氓3 Green Street 3: Never Back Down,2013,詹姆斯·纳恩,/celebrity/1332050/,"['剧情', '动作']",['2013-10-16'],93分钟,"['6875497', '2991620', '3238077', '20441283', '26829842', '3731662', '26577540', '5151665', '2996752', '4113449']",332,4796,5.0,5.696205170975813,46,134,110,24,18,258,215,332,531,944,957,631,259,130,539
3244538,tt0161382,https://movie.douban.com/subject/3244538,http://www.imdb.com/title/tt0161382,笛卡尔 Cartesius,1974,罗伯托·罗西里尼,/celebrity/1048228/,"['传记', '历史']",['1974-02-20'],152分钟,"['3244524', '1900338', '1466232', '1303580', '2296977', '1394064', '1439463', '4259362', '3538966', '1293499']",143,301,7.776223776223777,7.046511627906978,0,5,45,54,39,7,5,5,16,23,39,80,59,26,41
1298087,tt0047172,https://movie.douban.com/subject/1298087,http://www.imdb.com/title/tt0047172,最后的桥 Die letzte Brücke,1954,赫尔穆特·科伊特纳,/celebrity/1108843/,"['剧情', '战争']",['1954-02-11'],102 分钟,"['1295369', '1825674', '1468020', '1439859', '1765836', '1296515', '1299518', '1296116', '1307165', '1294613']",73,302,7.506849315068492,7.566225165562912,1,3,18,42,9,3,2,3,8,14,36,65,87,40,44
1867408,tt0834902,https://movie.douban.com/subject/1867408,http://www.imdb.com/title/tt0834902,伤城,2006,刘伟强,/celebrity/1106979/,"['剧情', '惊悚', '犯罪']",['2006-12-21(香港)'],110 分钟,"['1890784', '2359431', '3412882', '1329950', '1861411', '3013580', '3734112', '1292223', '2998270', '1866131']",83658,2416,6.811948648067131,6.755794701986755,669,5772,42498,28360,6358,28,25,36,87,225,575,766,389,111,174
1299590,tt0102558,https://movie.douban.com/subject/1299590,http://www.imdb.com/title/tt0102558,鬼屋24小时 Nothing But Trouble,1991,丹·艾克罗伊德,/celebrity/1010562/,"['喜剧', '冒险']",['1991-02-15'],94 分钟,"['1755972', '1292820', '1301533', '1292640', '1308822', '3072185', '26687241', '1301420', '1870044', '1305010']",33,20535,6.727272727272727,5.161529096664232,2,4,15,9,4,2725,1396,1716,2277,3057,2997,2392,1423,696,1856
